Sector,Week,TotalArrests,Unarmed,Armed,DrugRelated,Male,Female,White,Black,Hispanic or Latino,PUBLIC INTOXICATION,DRUG/ NARCOTIC VIOLATIONS,DUI,ALL OTHER OFFENSES
110,2014-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2014-22,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
110,2014-23,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
110,2014-24,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2014-25,6.0,4.0,3.0,2.0,7.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
110,2014-26,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
110,2014-27,3.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
110,2014-28,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2014-29,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2014-30,5.0,7.0,0.0,3.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0
110,2014-31,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
110,2014-32,2.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
110,2014-33,4.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
110,2014-34,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
110,2014-35,4.0,6.0,1.0,2.0,6.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
110,2014-36,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
110,2014-37,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
110,2014-38,3.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
110,2014-39,11.0,10.0,1.0,0.0,7.0,4.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0
110,2014-40,5.0,5.0,1.0,0.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
110,2014-41,9.0,10.0,1.0,2.0,8.0,3.0,4.0,1.0,6.0,0.0,0.0,0.0,0.0
110,2014-42,7.0,5.0,3.0,0.0,8.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
110,2014-43,9.0,8.0,1.0,0.0,7.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
110,2014-44,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2014-45,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2014-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2014-47,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
110,2014-48,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2014-49,2.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
110,2014-50,4.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
110,2014-51,5.0,4.0,2.0,0.0,4.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
110,2014-52,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
110,2015-00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015-01,3.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
110,2015-02,3.0,5.0,0.0,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
110,2015-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2015-04,4.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
110,2015-05,5.0,5.0,0.0,2.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
